"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",21.9506956025408,-1.41622821601362,0.538447407637181,0.000585073013598168,0.00239312934847616
"A1BG-AS1",71.9246275135488,-0.916092727021205,0.296657977176856,0.00026993375182876,0.00119727455713973
"A2ML1",86.2937652776833,-2.08677479709083,0.297746725579969,2.14894102798357e-13,3.39814767661176e-12
"A4GALT",664.818388167495,-0.951296539003131,0.101271138676541,9.34455309451547e-22,2.84385899176421e-20
"AAAS",1093.37576661851,-0.0756880051828114,0.0737539457968709,0.29598580238395,0.469244420714699
"AACS",978.346908528523,-0.194845052610132,0.0793134824525239,0.0120231636932895,0.034482856643058
"AADAT",190.718508512982,-0.0183151771160053,0.160655649549427,0.899786267951942,0.950757896702342
"AAGAB",2324.03509143902,0.0995653783314449,0.0654156866866727,0.122904157217341,0.240689363531992
"AAK1",2211.97561501623,0.255605871677578,0.0786768054535883,0.000905100237418281,0.00354179422930181
"AAMDC",164.149061173483,0.118919190746751,0.17550960134935,0.4513909765517,0.63008785926223
"AAMP",4604.44240178259,0.0844118057105854,0.0529910096610745,0.112852600121447,0.225069447494453
"AAR2",2714.80613780977,-0.587392866006652,0.0674584908297721,1.03896120497852e-18,2.57837768565985e-17
"AARD",1.58370081029608,-0.0704595411489009,0.398889437184157,0.408384237548616,NA
"AARS",10295.3435646736,0.149138226080043,0.0400764592500877,0.000179202167814948,0.000826101516100426
"AARS2",738.896961072235,-0.181206890149582,0.0840768516442721,0.0272189966093717,0.0693548669481155
"AARSD1",912.079967474775,-0.0207798904605338,0.0871609860306948,0.806506621034082,0.898149217119999
"AASDH",372.889409653583,-0.437198840702781,0.126127390371644,0.000255766329160422,0.00114291048736369
"AASDHPPT",1612.06437447211,0.11021202188374,0.08507296114939,0.184706454384755,0.329169808788118
"AASS",80.1797192155611,0.371963749074307,0.233824931681353,0.0559090759114215,0.127294230192339
"AATBC",3.31708845533629,0.150651318054785,0.414465579032484,0.251453479795725,0.415464664636293
"AATF",3701.65972138029,-0.122033179767472,0.0481498891940787,0.0106282120287443,0.0310330910726522
"AATK",31.9118533584169,0.194412650227157,0.30073572971571,0.35606093151572,0.534688104856285
"ABALON",3.63980816996691,0.0446673150508569,0.385077430329975,0.688006799788854,0.819082695486738
"ABAT",39.4805563407211,0.123084796742023,0.285797891706564,0.543125408862689,0.709243937634829
"ABCA1",99.7176380645182,-2.28113336529595,0.268451071841774,1.23444222590328e-18,3.04606960067485e-17
"ABCA10",32.3829604846068,0.321537969999381,0.38927886289508,0.156865580041834,0.290707255120509
"ABCA11P",177.672509558435,0.00296373547134143,0.169506704010806,0.985721544058516,0.992735557887112
"ABCA12",790.898370035719,0.302360765562463,0.0846626270698409,0.00025177412192835,0.00112623148352014
"ABCA13",11.6579246129649,0.0348555596857815,0.362789630405868,0.814534675317676,0.903089160982726
"ABCA2",303.729582121704,0.514767894851815,0.201177650467138,0.00376596332690587,0.0125631088138146
"ABCA3",18.8082575577586,-1.7993578330564,0.961792059956347,0.00175087977022221,0.00638077970042956
"ABCA4",1.62041313577518,0.0178618976497699,0.391133825434649,0.823220196472132,NA
"ABCA5",125.410101463836,0.627532274470499,0.214195015983733,0.000883296932618861,0.00346350630428105
"ABCA7",306.242498806044,0.113664491483201,0.308177046228438,0.571620775137786,0.731045826180712
"ABCA8",1.57094660706005,-0.0995140450693443,0.409000511073343,0.208034364923129,NA
"ABCB10",965.377743184077,0.14397147927379,0.0848873050875558,0.0827868526294416,0.175284210004019
"ABCB11",15.6014175901772,-0.00640063897122592,0.367471538461771,0.959985799213195,0.980381492443928
"ABCB5",1.87747012796463,0.0240274565961614,0.393570738443267,0.728959797937097,NA
"ABCB6",94.0888595762353,0.378760817254824,0.273671300472969,0.0760012083348746,0.163742600892805
"ABCB7",662.060870113014,0.171674536287438,0.0932408226898879,0.0581601253414026,0.131416477471831
"ABCB8",1027.79597800825,-0.276133093596574,0.0791508834454787,0.00036226813693658,0.00156039035046565
"ABCB9",111.526044763436,-0.143653816721323,0.19782908104387,0.401807357878468,0.582243858626491
"ABCC1",4239.63132236675,0.0617925896840995,0.0537593949840068,0.246393802466671,0.409955236081848
"ABCC10",626.180330499606,-0.130320594736991,0.113108023794816,0.228609365618775,0.387766369941223
"ABCC11",3.86878989585591,0.263240342217624,0.503206343766142,0.0591912633202859,0.133557602083377
"ABCC2",15.5553821414811,-0.433029009469867,0.561128143118447,0.0684575372538179,0.150396770357393
"ABCC3",2616.48144250505,0.749634528277842,0.0875678032482222,2.50151868837855e-18,5.98535788790382e-17
"ABCC4",386.816697220632,-1.24252760053509,0.126219404439759,8.81539257918787e-24,3.07687354267952e-22
