"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",10.39348825405,-0.0798233148157465,0.313022562738613,0.300920909285601,0.556131584396421
"A1BG-AS1",15.6270176518354,-0.0381967316996464,0.27818447424946,0.761014413221347,0.894862992516214
"A4GALT",17.9165265489567,-0.137508862200755,0.30990207106961,0.302693556278442,0.558186556779379
"AAAS",332.067276662271,0.0899999902346314,0.13055112722132,0.447800270208002,0.693123185283316
"AACS",355.127410844675,-0.115263619970478,0.140869603254711,0.356679184592672,0.613640931559378
"AADAT",94.8913820496882,0.0629252177027652,0.189503322916007,0.676743163042566,0.849722611092687
"AAGAB",514.778744735188,-0.0765985215563929,0.0994330512457156,0.415002110974448,0.665079792963922
"AAK1",437.129065320972,0.236906063792189,0.159405104647492,0.0848985427718245,0.247440751869639
"AAMDC",52.9098412527545,0.038928567455927,0.222391656887786,0.803548943330089,0.914794967204952
"AAMP",634.179240108707,0.0617905061606395,0.107921118113402,0.541659577768185,0.765168973575858
"AAR2",411.072073607833,-0.282056960417986,0.125938957424202,0.0140795815146445,0.0648334703253362
"AARD",2.52737309090357,0.0348840767192164,0.308654555453546,0.41208321176876,NA
"AARS",1038.72787715617,-0.0965734693455717,0.0833084871582615,0.22773743308864,0.471856365920366
"AARS2",286.865033257575,0.0229268748329458,0.130147184364726,0.846986609707242,0.935231259795201
"AARSD1",291.380221682798,-0.239184892467769,0.135031761421827,0.0486998607115894,0.166982910796409
"AASDH",61.0748418420076,-0.407973503036412,0.295496797656161,0.0410583263841749,0.146810174898097
"AASDHPPT",601.698676542382,0.00406564051896884,0.0952417100837154,0.964991913963537,0.985685111112818
"AASS",226.450539446954,0.230361403048867,0.165928145981362,0.103238413030197,0.283546644279679
"AATF",712.529581759591,0.116137538732254,0.104880810288683,0.238492617940365,0.485625334793901
"AATK",4.5929858639189,-0.0468109886267925,0.303763952904782,0.558522786895025,NA
"ABALON",7.79492134604909,0.237028812406244,0.416506162380481,0.0586116517697912,0.189934152042595
"ABAT",12.9580141837391,-0.163552733453847,0.331679164173319,0.206262162210758,0.444482519858824
"ABCA1",107.61685484458,0.646598336751386,0.227607063553815,0.000690628983070854,0.00552172037770075
"ABCA10",3.5995160142962,0.101570414142034,0.326611886885489,0.134969297872386,NA
"ABCA11P",24.9739981064028,-0.0994339456376765,0.282382261228152,0.478669008475555,0.717191075298788
"ABCA12",1.70913081526415,-0.0549835065501018,0.313332326009841,0.273967621336877,NA
"ABCA13",3.55311336246869,-0.0210239104692245,0.302334720258529,0.761544026201419,NA
"ABCA2",13.3400719240022,0.119083363930107,0.307294537851561,0.338979860033423,0.596653854037249
"ABCA3",7.70052144435155,-0.0526039291480828,0.301965562001371,0.543220486869324,0.766167470024693
"ABCA5",47.7602925319378,0.16040413116016,0.270761772663467,0.3242261648799,0.580627930352346
"ABCA7",12.0428147985019,0.0525612084985359,0.294170368044847,0.615363276176293,0.812632584088141
"ABCA9",1.91023879009733,-0.0134164121361144,0.306119779209376,0.785322798445512,NA
"ABCB1",62.8015266517736,-0.546948580123815,0.346302083282536,0.0162436775681432,0.0725718574769651
"ABCB10",219.68539176671,-0.193390928769503,0.151077768039993,0.142373201034904,0.351298031557186
"ABCB11",5.70572947203594,0.10083724636739,0.326366497603889,0.141047242389071,0.349099700155892
"ABCB4",9.20757599125453,0.083804113090744,0.308916165727772,0.372901127014058,0.627509218782235
"ABCB6",98.7654562218463,-0.355776072145502,0.302752802385595,0.0659180731047004,0.205747196980499
"ABCB7",212.43906002645,-0.150145453040188,0.156971154522641,0.266789825991149,0.517209006413792
"ABCB8",346.072495337267,-0.200504202629933,0.140500420525219,0.108320872074955,0.293054142280304
"ABCB9",46.7781365095542,0.22018787735655,0.269501916986434,0.204815748965579,0.442644485381003
