,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
0.5,0,0,0,0,0,,0
1.5,0,0,0,0,0,,0
2.5,0,0,0,0,0,,0
3.5,0,0,0,0,0,,0
4.5,0,0,0,0,0,,0
5.5,0,0,0,0,0,,0
6.5,0,0,0,0,0,,0
7.5,0,0,0,0,0,,0
8.5,0,0,0,0,0,,0
9.5,0,0,0,0,0,,0
10.5,0,0,0,0,0,,0
11.5,0,0,0,0,0,,0
12.5,0,0,0,0,0,,0
13.5,0,0,0,0,0,,0
14.5,0,0,0,0,0,,0
15.5,0,0,0,0,0,,0
16.5,0,0,0,0,0,,0
17.5,0,0,0,0,0,,0
18.5,0,0,0,0,0,,0
19.5,0,0,0,0,0,,0
20.5,0,0,0,0,0,,0
21.5,0,3,0,1,1,,200
22.5,0,18,0,6,6,,1200
23.5,0,80,0,27,27,,5400
24.5,0,278,0,93,93,,18600
25.5,0,773,0,258,258,,51600
26.5,0,1752,0,584,584,,116800
27.5,0,3301,0,1100,1100,,220000
28.5,0,5247,0,1749,1749,,349800
29.5,0,7141,0,2380,2380,,476000
30.5,0,8437,0,2813,2812,,562600
31.5,0,8765,2,2922,2922,,584400
32.5,0,8105,6,2704,2701,,540800
33.5,0,6749,21,2256,2246,,451200
34.5,0,5118,61,1726,1696,,345200
35.5,0,3574,162,1245,1165,,249000
36.5,0,2324,391,905,718,,181000
37.5,0,1422,869,764,414,,152800
38.5,0,828,1785,871,516,,174200
39.5,0,463,3417,1293,1070,,258600
40.5,0,252,6126,2126,2001,,425200
41.5,0,134,10335,3490,3423,,698000
42.5,0,71,16480,5517,5482,,1103400
43.5,0,38,24932,8323,8304,,1664600
44.5,0,20,35904,11975,11964,,2395000
45.5,0,11,49365,16459,16453,,3291800
46.5,0,6,64986,21664,21661,,4332800
47.5,0,4,82127,27377,27375,,5475400
48.5,0,2,99890,33298,33296,,6659600
49.5,0,1,117221,39074,39073,,7814800
50.5,0,0,133043,44348,44347,,8869600
51.5,0,0,146402,48801,48801,,9760200
52.5,0,0,156579,52193,52193,,10438600
53.5,0,0,163164,54388,54388,,10877600
54.5,0,0,166068,55356,55356,,11071200
55.5,0,0,165501,55167,55167,,11033400
56.5,0,0,161897,53966,53966,,10793200
57.5,0,0,155835,51945,51945,,10389000
58.5,0,0,147955,49318,49318,,9863600
59.5,0,0,138886,46296,46295,,9259200
60.5,0,0,129197,43066,43066,,8613200
61.5,0,0,119363,39788,39788,,7957600
62.5,0,0,109755,36585,36585,,7317000
63.5,0,1,100642,33548,33547,,6709600
64.5,0,1,92202,30735,30734,,6147000
65.5,0,2,84538,28180,28179,,5636000
66.5,0,3,77694,25899,25898,,5179800
67.5,0,4,71673,23892,23890,,4778400
68.5,0,5,66448,22151,22148,,4430200
69.5,1,8,61975,20661,20657,,4132200
70.5,2,11,58204,19406,19399,,3881200
71.5,3,16,55079,18366,18356,,3673200
72.5,4,23,52547,17525,17511,,3505000
73.5,6,33,50559,16866,16846,,3373200
74.5,9,47,49071,16376,16348,,3275200
75.5,13,67,48047,16042,16002,,3208400
76.5,19,95,47455,15856,15799,,3171200
77.5,27,133,47269,15810,15730,,3162000
78.5,38,184,47471,15898,15787,,3179600
79.5,54,254,48045,16118,15964,,3223600
80.5,76,347,48981,16468,16256,,3293600
81.5,106,471,50269,16949,16661,,3389800
82.5,146,635,51905,17562,17172,,3512400
83.5,199,849,53884,18311,17788,,3662200
84.5,269,1127,56201,19199,18503,,3839800
85.5,361,1486,58850,20232,19312,,4046400
86.5,481,1945,61825,21417,20208,,4283400
87.5,635,2530,65114,22759,21184,,4551800
88.5,832,3270,68703,24268,22228,,4853600
89.5,1082,4200,72573,25952,23328,,5190400
90.5,1396,5364,76701,27820,24467,,5564000
91.5,1790,6810,81056,29885,25627,,5977000
92.5,2278,8596,85604,32160,26785,,6432000
93.5,2879,10791,90305,34658,27917,,6931600
94.5,3616,13470,95114,37400,28997,,7480000
95.5,4511,16721,99983,40405,29997,,8081000
96.5,5594,20643,104860,43699,30888,,8739800
97.5,6894,25341,109696,47311,31644,,9462200
98.5,8448,30934,114439,51274,32243,,10254800
99.5,10292,37546,119042,55627,32669,,11125400
100.5,12470,45308,123462,60413,32919,,12082600
101.5,15028,54352,127660,65680,33004,,13136000
102.5,18018,64813,131607,71479,32959,,14295800
103.5,21495,76816,135280,77864,32851,,15572800
