,,,,,Dilution factor,200,
Size (nm), Read 1 (particles / ml),Read 2 (particles / ml),Read 3 (particles / ml),Average,Standard Error,,
0.5,0,0,0,0,0,,0
1.5,0,0,0,0,0,,0
2.5,0,0,0,0,0,,0
3.5,0,0,0,0,0,,0
4.5,0,0,0,0,0,,0
5.5,0,0,0,0,0,,0
6.5,0,0,0,0,0,,0
7.5,0,0,0,0,0,,0
8.5,0,0,0,0,0,,0
9.5,0,0,0,0,0,,0
10.5,0,0,0,0,0,,0
11.5,0,0,0,0,0,,0
12.5,0,5,0,2,2,,400
13.5,0,63,0,21,21,,4200
14.5,0,514,0,171,171,,34200
15.5,0,2819,0,940,940,,188000
16.5,0,10620,0,3540,3540,,708000
17.5,0,28079,0,9360,9360,,1872000
18.5,2,53491,0,17831,17830,,3566200
19.5,9,75607,0,25205,25201,,5041000
20.5,33,81904,0,27312,27296,,5462400
21.5,96,70418,0,23504,23457,,4700800
22.5,233,49862,0,16698,16582,,3339600
23.5,485,30223,0,10236,9995,,2047200
24.5,883,16314,0,5733,5297,,1146600
25.5,1438,8160,0,3199,2515,,639800
26.5,2128,3932,0,2020,1136,,404000
27.5,2911,1894,0,1602,853,,320400
28.5,3732,942,0,1558,1120,,311600
29.5,4539,499,0,1679,1437,,335800
30.5,5292,287,0,1860,1718,,372000
31.5,5972,183,0,2051,1961,,410200
32.5,6571,130,0,2234,2169,,446800
33.5,7097,103,0,2400,2349,,480000
34.5,7566,92,0,2553,2507,,510600
35.5,7996,90,0,2695,2650,,539000
36.5,8406,96,1,2834,2786,,566800
37.5,8816,111,7,2978,2919,,595600
38.5,9241,137,38,3139,3051,,627800
39.5,9696,178,171,3348,3174,,669600
40.5,10192,239,623,3685,3256,,737000
41.5,10740,330,1909,4327,3239,,865400
42.5,11348,463,4980,5597,3157,,1119400
43.5,12020,655,11223,7966,3663,,1593200
44.5,12762,927,22149,11946,6140,,2389200
45.5,13577,1310,38762,17883,11024,,3576600
46.5,14468,1838,60868,25725,17946,,5145000
47.5,15435,2555,86723,34904,26175,,6980800
48.5,16480,3509,113282,44424,34632,,8884800
49.5,17603,4759,137000,53121,42103,,10624200
50.5,18804,6367,154816,59996,47546,,11999200
51.5,20085,8396,164895,64459,50331,,12891800
52.5,21448,10916,166889,66418,50328,,13283600
53.5,22898,13989,161734,66207,47833,,13241400
54.5,24442,17675,151160,64426,43411,,12885200
55.5,26088,22025,137164,61759,37721,,12351800
56.5,27850,27074,121593,58839,31378,,11767800
57.5,29747,32843,105909,56166,24888,,11233200
58.5,31800,39330,91117,54082,18645,,10816400
59.5,34037,46510,77800,52782,13017,,10556400
60.5,36493,54334,66211,52346,8636,,10469200
61.5,39207,62723,56377,52769,7024,,10553800
62.5,42227,71575,48184,53995,8956,,10799000
63.5,45607,80761,41453,55940,12468,,11188000
64.5,49411,90134,35978,58507,16282,,11701400
65.5,53708,99530,31559,61599,20014,,12319800
66.5,58577,108775,28015,65122,23542,,13024400
67.5,64106,117696,25189,68997,26816,,13799400
68.5,70389,126123,22949,73154,29816,,14630800
69.5,77527,133899,21188,77538,32537,,15507600
70.5,85623,140888,19818,82110,34994,,16422000
71.5,94782,146979,18766,86842,37224,,17368400
72.5,105103,152091,17975,91723,39289,,18344600
73.5,116677,156172,17398,96749,41281,,19349800
74.5,129571,159206,16993,101923,43319,,20384600
75.5,143828,161207,16726,107254,45541,,21450800
76.5,159449,162215,16567,112744,48095,,22548800
77.5,176385,162296,16489,118390,51113,,23678000
78.5,194526,161537,16467,124177,54690,,24835400
79.5,213691,160036,16477,130068,58869,,26013600
80.5,233621,157902,16498,136007,63627,,27201400
81.5,253982,155249,16511,141914,68875,,28382800
82.5,274365,152188,16499,147684,74474,,29536800
83.5,294303,148828,16447,153193,80240,,30638600
84.5,313284,145272,16345,158301,85966,,31660200
85.5,330780,141613,16186,162860,91435,,32572000
86.5,346277,137933,15968,166726,96433,,33345200
87.5,359303,134305,15690,169766,100765,,33953200
88.5,369461,130791,15358,171870,104264,,34374000
89.5,376456,127441,14980,172959,106802,,34591800
90.5,380114,124298,14566,172993,108297,,34598600
91.5,380387,121394,14128,171970,108712,,34394000
92.5,377361,118754,13679,169931,108059,,33986200
93.5,371239,116395,13233,166956,106394,,33391200
94.5,362327,114331,12802,163153,103810,,32630600
95.5,351009,112569,12399,158659,100428,,31731800
96.5,337721,111111,12034,153622,96391,,30724400
97.5,322922,109959,11719,148200,91849,,29640000
