"","CONDITION","KRAS","RIG.I","OAS2","MDA5","PDL1","Knockdown"
"1","CTRL",5.33,4.25,74.79,0.71,41,"MDA5"
"2","KRAS",6.62,2.04,46.92,0.37,50.56,"MDA5"
"3","CTRL",5.75,2.74,32.63,0.58,24.87,"MDA5"
"4","KRAS",6.8,2.33,35.21,0.29,42.16,"MDA5"
"5","CTRL",4.55,2.12,20.36,0.44,24.21,"MDA5"
"6","KRAS",4.42,2.16,11.17,0.28,22.04,"MDA5"
"7","CTRL",6.33,0.16,11.45,1.5,11.82,"RIG-I"
"8","KRAS",2.45,0.11,4.06,0.89,7.32,"RIG-I"
"9","CTRL",5.2,0.14,7.01,1.31,8.17,"RIG-I"
"10","KRAS",1.93,0.12,4.11,1.03,7.18,"RIG-I"
"11","CTRL",3.64,0.12,2.34,1.01,6.15,"RIG-I"
"12","KRAS",1.33,0.12,2.36,0.95,4.37,"RIG-I"
