enst,transcript.id,gene,log2FoldChange,padj
ENST00000216327.10,ABHD4-201,ABHD4,-4.62754433963121,8.89663496640854e-5
ENST00000330475.9,ADAMTSL5-201,ADAMTSL5,-4.50223691736069,0.00693737311161241
ENST00000253003.7,ADRM1-201,ADRM1,-2.77965592042821,5.74123254915319e-5
ENST00000332810.4,AEN-201,AEN,-2.20369586185934,0.0032325416027904
ENST00000253332.5,AKAP12-201,AKAP12,-2.82125606434884,2.39308631043916e-4
ENST00000359579.5,AKR1B10-201,AKR1B10,-2.54348289729203,4.58988591797543e-5
ENST00000609375.1,AL034430.1-201,AL034430.1,-1.5333320769426,0.00130607213741082
ENST00000264366.10,ANK2-201,ANK2,3.25097139969188,0.00825332705097944
ENST00000427211.3,ANKRD65-201,ANKRD65,-2.63333629758243,0.00825332705097944
ENST00000345016.9,AP3D1-201,AP3D1,-2.47034712518223,1.27538024526542e-5
ENST00000361441.5,APOBEC3C-201,APOBEC3C,-2.37346224013845,5.65042798032749e-6
ENST00000348946.8,APOBEC3H-201,APOBEC3H,-4.63873445991301,0.00343036382166927
ENST00000395748.8,AREG-201,AREG,-2.38872673277972,3.85196258034702e-7
ENST00000268042.7,ARRDC4-201,ARRDC4,1.88098783658435,0.00304484566700094
ENST00000377526.4,AUP1-201,AUP1,-1.61074273006991,0.00179901352517012
ENST00000370626.4,AVPI1-201,AVPI1,-1.94910271221544,0.00399583880526768
ENST00000293288.12,BAX-201,BAX,-2.19849926179901,0.00522624103389097
ENST00000356884.11,BICD2-201,BICD2,-2.12036377474895,0.00441247286818613
ENST00000216115.3,BIK-201,BIK,-2.3551203443957,5.33800217820255e-4
ENST00000373537.7,BLCAP-201,BLCAP,-1.38252940583786,5.36530635713806e-4
ENST00000224337.9,BLNK-201,BLNK,-2.66788553604818,1.31356728770087e-4
ENST00000244519.7,BTN3A3-201,BTN3A3,6.77882291765613,0.00825332705097944
ENST00000264202.8,CAPZB-201,CAPZB,-1.39493448689946,0.00674943037080933
ENST00000341049.7,CAV1-201,CAV1,-1.90010176888959,0.00693737311161241
ENST00000395694.7,CCDC51-201,CCDC51,-2.35306769817991,0.00332721265867589
ENST00000280326.9,CCT5-201,CCT5,-1.65355419636425,0.008409512581922
ENST00000009180.10,CD9-201,CD9,-1.37420996022596,0.0075198020562414
ENST00000244741.9,CDKN1A-201,CDKN1A,-2.61016134700511,4.01093083924096e-5
ENST00000215980.10,CENPM-201,CENPM,-2.36416135895918,2.847022208025e-4
ENST00000216756.11,CINP-201,CINP,-1.44953314835028,0.00580413501331846
ENST00000348956.7,CKB-201,CKB,-2.34330652711299,0.00322861609732567
ENST00000320954.10,CRTAP-201,CRTAP,-1.72579551638312,0.00441247286818613
ENST00000435847.6,CYFIP2-201,CYFIP2,-1.84318405737906,0.00485384454886418
ENST00000409414.2,CYSRT1-201,CYSRT1,-3.10389088857601,2.97414827982275e-5
ENST00000357275.6,DBNDD2-201,DBNDD2,-1.37000497861993,0.00915707555677219
ENST00000346473.7,DDIT3-201,DDIT3,-1.74317897041664,0.00133050548468228
ENST00000306585.9,DERPC-201,DERPC,7.17125199132338,0.00171966132310362
ENST00000221943.13,DMAC2-201,DMAC2,-2.45055514395338,0.00259442600445432
ENST00000314392.12,DPM2-201,DPM2,-1.49092089148575,0.00147007248711616
ENST00000331457.9,DRG1-201,DRG1,-1.62763946642247,0.00198789454110573
ENST00000246069.12,DSTN-201,DSTN,-1.62784662352544,0.00125049450657501
ENST00000224073.6,EDF1-201,EDF1,-1.8464996406847,0.00738687405366726
ENST00000216190.13,EIF3D-201,EIF3D,-1.42482473184266,7.86461811472756e-4
ENST00000381683.10,EIF3L-201,EIF3L,-2.60767003383695,2.4527876751297e-5
ENST00000248378.6,EMC6-201,EMC6,-3.05551199283645,2.39308631043916e-4
ENST00000568225.2,EPPK1-201,EPPK1,-2.47965877957475,0.00580413501331846
ENST00000220584.9,FDFT1-201,FDFT1,-1.49501611759077,1.10285439735781e-4
ENST00000293195.10,FDXR-201,FDXR,-2.13377320592406,0.00412027514400959
ENST00000337706.7,FGF1-201,FGF1,-2.2384238991572,0.00976246133039473
ENST00000238256.8,FKBP15-201,FKBP15,-2.92773748818007,0.00455319408279687
ENST00000001008.6,FKBP4-201,FKBP4,-1.80295369762357,0.00349209989350682
ENST00000360319.9,FLNA-201,FLNA,-2.48575336008679,0.00147007248711616
ENST00000312293.9,FOLR1-201,FOLR1,4.15016829672421,0.00465579768860232
ENST00000302262.8,GAA-201,GAA,-1.99760579604547,0.00900773077479021
ENST00000370985.4,GADD45A-201,GADD45A,-2.5956684790093,6.40023368014174e-5
ENST00000260447.6,GCHFR-201,GCHFR,-2.64253998100095,8.83742825524379e-6
ENST00000252809.3,GDF15-201,GDF15,-3.1081224047196,2.98780953165934e-6
ENST00000270257.9,GEMIN7-201,GEMIN7,-2.46503099714324,0.00532786131181665
ENST00000372134.6,GHITM-201,GHITM,-1.32876990988254,0.00846251132151866
ENST00000382844.2,GJB2-201,GJB2,-3.08909722026332,2.61354952818372e-5
ENST00000338513.1,GJB5-201,GJB5,-1.9591801932417,0.00802358422601575
ENST00000311966.9,GLS2-201,GLS2,-5.34885935122417,6.70293714566619e-12
ENST00000265620.11,GNAS-201,GNAS,-1.79251946582553,0.00412027514400959
ENST00000377741.4,GPR20-201,GPR20,7.0860844086751,0.0026026644096432
ENST00000394456.10,GTF2F1-201,GTF2F1,-2.3203251211028,1.12805804952679e-4
ENST00000340473.8,GTF2F2-201,GTF2F2,-1.78888591822226,0.00125049450657501
ENST00000310931.9,HDLBP-201,HDLBP,-1.75756472276668,5.85378838494238e-4
ENST00000014930.9,HEBP1-201,HEBP1,-2.5195875290573,5.31594425555763e-4
ENST00000604458.1,HSPE1-MOB4-201,HSPE1-MOB4,-8.02025259882045,1.31356728770087e-4
ENST00000380843.9,IDH3B-201,IDH3B,-1.76448942900901,0.0061572810598672
ENST00000370751.10,IFI44L-201,IFI44L,4.66974865897077,2.34259505239687e-5
ENST00000374021.1,ILRUN-201,ILRUN,-1.69667049402709,0.00147007248711616
ENST00000314852.2,IMP3-201,IMP3,-1.55864695027572,0.00111875773698681
ENST00000252527.8,INF2-201,INF2,-2.76287894717561,0.00138189089554695
ENST00000354981.6,KIF16B-201,KIF16B,-2.94248890662879,3.47931453274565e-5
ENST00000312962.12,KRI1-201,KRI1,-2.37124846770771,4.23034296350528e-4
ENST00000167586.7,KRT14-201,KRT14,-3.18702119184408,1.35025387693505e-6
ENST00000311208.13,KRT17-201,KRT17,-2.73568011835202,3.06582830727982e-5
ENST00000299213.10,LARP6-201,LARP6,-2.24468525669114,0.00133050548468228
ENST00000360090.4,LCE1B-201,LCE1B,-2.38199291403632,6.40023368014174e-5
ENST00000314980.5,LGALS7B-201,LGALS7B,-2.45148215300537,1.64081869252402e-4
ENST00000298288.11,LRR1-201,LRR1,-2.38081801783477,0.00455319408279687
ENST00000296755.12,MAP1B-201,MAP1B,-2.05808776749149,0.00198345599665015
ENST00000340941.11,MCCC2-201,MCCC2,1.754095234181,0.00198789454110573
ENST00000359803.7,MDK-201,MDK,-2.50134230132755,0.00105542464837461
ENST00000258148.11,MDM2-201,MDM2,-1.60491300973368,2.17308325465148e-4
ENST00000237380.12,MED28-201,MED28,-1.52475013993791,0.00887644176603945
ENST00000306010.8,MGMT-201,MGMT,-4.40171728062659,1.77216047569798e-6
ENST00000203630.9,MLF2-201,MLF2,-2.00453288917758,2.81202992620754e-4
ENST00000255495.7,MORC4-201,MORC4,1.48647842081046,0.00746416205777194
ENST00000222644.9,MPP6-201,MPP6,-2.77136136543483,6.6615631026235e-4
